"Cont_Target","tmin_L16","tmax_L17","tmean_L17","ndvi_L0","Agr","Gra","For","Wat","Ope","Par","Edu","Hea","Cem","Mil","Gov","Ind","Com","Tra","Inf.","Vlo","Low","Med","Hig","Vhi","RND","FloodRisk","l_sgpm_L6","uw_L5","vw_L11","rh_L4"
0,22.73222077,39.24633513,30.99703048,0.207388889,0,0,0,0,0,0,3.222267714,0,0,0,0,18.49368988,16.50024102,0,14.22768511,0,0,47.55611627,0,0,0.016487722,0.188210837,1.241727499,-2.338952654,-0.678812212,78.50664952
0.09219562,23.27050506,40.41994187,31.88924389,0.187752577,0,0,0,0,0,8.776791658,3.447846759,0,0.213751154,0,14.81692002,5.351722386,6.726551211,0,12.82663195,0,29.65511086,1.050994273,5.770375794,11.36330224,0.015900394,0.212933917,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.42399524,40.21115453,31.86042772,0.247571429,0,0,0,0,0,0.070695743,5.253474805,0,3.668442562,0,0,8.463649572,0,0,0,0,82.54374,0,0,0,0.022588725,0.406551759,1.331288934,-2.881216109,-0.296013276,79.03892743
0,21.6171303,40.67998273,31.21281258,0.170714286,0,0,0,7.784388082,2.300487899,0,3.605840104,0,0,0,0,0,0,0,0,0,0,0,86.30928391,0,0.017543675,0.541897189,1.331288934,-3.047808864,-0.268801306,79.66513423
0.235701016,23.59875046,38.16121797,30.95108505,0.33206079,1.596895733,0,1.32613721,0.210958383,6.986595118,0,4.151312895,0.910268805,0,0,2.098970877,5.607823805,47.96901922,0,0,3.708485304,2.561873524,1.226734952,4.247224615,17.12488529,0.0273411,0.453197857,0.904052724,-3.200802969,-0.083590587,79.66317744
0,23.83052081,41.84984467,32.88039471,0.192,0,0,0,0,0,0,0,0.816595417,0.997903309,0,0,0,0,0,0,0,0,96.06018777,0,0,0.02733086,0.812443086,1.324471884,-2.338952654,-0.678812212,78.50664952
0.099632586,22.02685054,37.74517207,29.93242014,0.459946759,0,0.191417255,0,0,31.90296643,1.84916436,0.001818557,0,0.108074999,0,0,0.601443658,6.2235434,0,0,2.406968247,14.05655775,5.625161103,17.75860836,1.490656028,0.016859389,0.15234312,1.00964879,-3.156787987,-0.122905092,79.91995213
0,23.29619838,41.29850319,32.36878504,0.330948187,0,0,0,0,5.666230346,0,0,0,0,0,0,22.0819135,22.72310591,0,0,0.060851806,17.77569893,9.319092859,16.64079968,5.732303532,0.020899414,0.023845784,0.897123777,-3.200802969,-0.083590587,79.66317744
0,23.98598218,39.82043537,31.95466574,0.26325,0,0,0,0,0,0,1.881626236,0,0,0,0,0,4.223006314,0,0,0,1.255562983,92.63980447,0,0,0.019497304,0.482102137,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.53101345,41.5826142,32.56719139,0.127192547,0,0,0,0,1.060532448,0.339687852,1.224380301,0,0,0,2.233587382,58.2077953,3.055833085,1.312310485,2.029913892,0,0,10.2833626,14.53995528,2.397679661,0.012603435,0.716471485,1.324471884,-2.338952654,-0.678812212,78.50664952
